"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma042",0.00227967465274991,1.00062702070648,-1.9540122743177,-0.674798293103476,0.0013648751560648,0.678061267088322,1.96697543830886,1.00000208988595,3e+05,1,0.50053,"gamma0",5,3
"gamma052",0.00488406962822442,0.998851961804806,-1.95134918659617,-0.670655992293366,0.00360358367765776,0.676809653649214,1.96331523738481,0.999996874724447,3e+05,1,0.501483333333333,"gamma0",6,3
"gamma062",0.00265057132962601,1.00161360149696,-1.95685219790677,-0.67257132522709,0.0018017726480952,0.679876358908524,1.96391902747532,1.00000898077815,255328,1,0.50066,"gamma0",7,3
"gamma072",0.00451760693101551,0.999760463045668,-1.95082747687086,-0.670630812606544,0.00348207514510433,0.680996551186851,1.96426846199265,1.00001057614868,3e+05,1,0.501406666666667,"gamma0",8,3
"gamma082",0.0047674899401984,0.997921314894613,-1.94759030562259,-0.66876214954875,0.00322437766951241,0.679575327350416,1.95745352261832,1.00000772410965,220710,1,0.501393333333333,"gamma0",9,3
"gamma092",0.00606472752099103,0.99908485973215,-1.95808007197436,-0.666759519347455,0.00896693355240287,0.681208378458129,1.95897349515669,1.00000429041326,233976,1,0.503613333333333,"gamma0",10,3
"gamma014",0.00413789571607655,1.00219597475659,-1.9532588165691,-0.673578426337606,0.00288145735911916,0.680344012148334,1.96842779692647,1.00000583223304,267900,1,0.501106666666667,"gamma0",1,4
"gamma015",0.00551388535391771,0.998870147632646,-1.95083457946993,-0.667753054684246,0.00117462255226614,0.67973922129202,1.9613558729526,1.00000678952258,181034,1,0.50048,"gamma0",2,4
"gamma023",0.00923935012906851,0.997636606122606,-1.94816910300239,-0.661681073927625,0.00875388653138796,0.681020969686361,1.96773435951254,1.0000017330959,3e+05,1,0.50366,"gamma0",3,4
"gamma033",0.0104904523198574,1.00112570318373,-1.95283900462303,-0.665980968696807,0.00986503524582238,0.685825253182993,1.97670357464194,1.00000536941799,225560,1,0.503986666666667,"gamma0",4,4
"gamma043",0.0114296723439186,1.00018955771922,-1.95031730888728,-0.662928109783013,0.00961339582567975,0.685431373855076,1.97064295563711,0.999999030114613,3e+05,1,0.503913333333333,"gamma0",5,4
"gamma053",0.014880787197629,1.00048283327836,-1.94435986400226,-0.660013423018349,0.0142791522446536,0.691098345600257,1.96867182983323,1.00000603240489,268978,1,0.505576666666667,"gamma0",6,4
"gamma063",0.0136899259239014,1.00053865911672,-1.94372375490973,-0.660535156622246,0.0121457461804594,0.688600452298054,1.97745021632571,1.00000796295509,184985,1,0.50479,"gamma0",7,4
"gamma073",0.0176991326978617,0.999771052527582,-1.94107761367344,-0.657217177685752,0.0189775775925954,0.693058926515071,1.97023801123189,0.999998693664601,3e+05,1,0.50774,"gamma0",8,4
"gamma083",0.0167851888283089,0.999472203910638,-1.94164454776647,-0.65632832074266,0.0169170896217364,0.69150001145767,1.97733666161435,0.99999971631796,3e+05,1,0.506756666666667,"gamma0",9,4
"gamma093",0.0133283764699132,0.999486003405261,-1.94225479930209,-0.662438327799401,0.0141355506702219,0.687492268673937,1.97604705651699,1.00001064425802,165368,1,0.505633333333333,"gamma0",10,4
"gamma016",-0.00177328346095908,0.999933723552901,-1.95446548404021,-0.677444581183517,-0.00267217766582553,0.670962241820034,1.96660548247998,1.00000037084805,3e+05,1,0.50107,"gamma0",1,5
"gamma017",-0.00102524490917329,1.00191990701629,-1.96609019511017,-0.675921057403429,0.000175412645725569,0.675071220289425,1.96287681400548,0.999996930578868,3e+05,1,0.499916666666667,"gamma0",2,5
"gamma024",-0.000744028264015422,0.998566838224173,-1.95707021931414,-0.673997251000628,-0.00168772877556987,0.672666722590579,1.95699601815158,1.00000418792701,3e+05,1,0.50071,"gamma0",3,5
"gamma034",-0.000221576931627811,1.00025316648446,-1.95973070233696,-0.675578680931484,-0.00204025696147493,0.675475042194879,1.96319892160232,1.00000138330399,3e+05,1,0.500803333333333,"gamma0",4,5
"gamma044",-0.000202351398488296,1.00131556180962,-1.95745167012463,-0.676164906254568,-0.00236679255406186,0.674971309906719,1.96396947250543,1.00000537946285,250154,1,0.500953333333333,"gamma0",5,5
"gamma054",-0.00436393594624469,0.998529910390895,-1.95235355190813,-0.677754382243284,-0.00400209173962878,0.668168922393165,1.95613398910345,1.00000455431481,224191,1,0.50178,"gamma0",6,5
"gamma064",-0.00611827464851174,1.00008736343356,-1.97097624325582,-0.678678944067796,-0.00707422962384495,0.667036544449497,1.95299514828913,1.00001170954296,177307,1,0.502966666666667,"gamma0",7,5
"gamma074",-0.00353370440914784,1.00097930403565,-1.97267955369457,-0.675877410241669,-0.00623304307642091,0.672594903862583,1.95876714759965,1.00001483056928,116684,1,0.5023,"gamma0",8,5
"gamma084",-0.00455247833521515,0.999532754789072,-1.96652781717665,-0.676309069429719,-0.00434497388826372,0.670099090694578,1.95922717383799,0.999997786357364,3e+05,1,0.501823333333333,"gamma0",9,5
"gamma094",-0.00158388842104974,1.00058098447244,-1.96329792293143,-0.672890212153033,-0.00144506919462029,0.674209678325322,1.96280672020413,1.00001340531729,134138,1,0.50065,"gamma0",10,5
