"","segment","month","year","sim","state"
"437","17","10","2","1",1
"438","18","10","2","1",1
"439","19","10","2","1",1
"440","20","10","2","1",1
"441","1","11","2","1",2
"442","2","11","2","1",2
"443","3","11","2","1",2
"444","4","11","2","1",2
"445","5","11","2","1",2
"446","6","11","2","1",2
"447","7","11","2","1",2
"448","8","11","2","1",2
"449","9","11","2","1",2
"450","10","11","2","1",2
"451","11","11","2","1",2
"452","12","11","2","1",2
"453","13","11","2","1",2
"454","14","11","2","1",1
"455","15","11","2","1",2
"456","16","11","2","1",2
"457","17","11","2","1",2
"458","18","11","2","1",1
"459","19","11","2","1",1
"460","20","11","2","1",2
"461","1","12","2","1",2
"462","2","12","2","1",2
"463","3","12","2","1",2
"464","4","12","2","1",2
"465","5","12","2","1",2
"466","6","12","2","1",2
"467","7","12","2","1",2
"468","8","12","2","1",2
"469","9","12","2","1",2
"470","10","12","2","1",2
"471","11","12","2","1",2
"472","12","12","2","1",2
"473","13","12","2","1",2
"474","14","12","2","1",1
"475","15","12","2","1",2
"476","16","12","2","1",2
"477","17","12","2","1",1
"478","18","12","2","1",1
"479","19","12","2","1",2
"480","20","12","2","1",2
"481","1","1","3","1",2
"482","2","1","3","1",2
"483","3","1","3","1",2
"484","4","1","3","1",2
"485","5","1","3","1",2
"486","6","1","3","1",2
"487","7","1","3","1",2
"488","8","1","3","1",2
"489","9","1","3","1",2
"490","10","1","3","1",2
"491","11","1","3","1",1
"492","12","1","3","1",2
"493","13","1","3","1",1
"494","14","1","3","1",1
"495","15","1","3","1",1
"496","16","1","3","1",1
"497","17","1","3","1",2
"498","18","1","3","1",2
"499","19","1","3","1",2
"500","20","1","3","1",2
"501","1","2","3","1",2
"502","2","2","3","1",2
"503","3","2","3","1",2
"504","4","2","3","1",2
"505","5","2","3","1",2
"506","6","2","3","1",2
"507","7","2","3","1",2
"508","8","2","3","1",2
"509","9","2","3","1",2
"510","10","2","3","1",2
"511","11","2","3","1",2
"512","12","2","3","1",2
"513","13","2","3","1",1
"514","14","2","3","1",2
"515","15","2","3","1",1
"516","16","2","3","1",2
"517","17","2","3","1",2
"518","18","2","3","1",2
"519","19","2","3","1",2
"520","20","2","3","1",2
"521","1","3","3","1",2
"522","2","3","3","1",2
"523","3","3","3","1",2
"524","4","3","3","1",2
"525","5","3","3","1",2
"526","6","3","3","1",2
"527","7","3","3","1",2
"528","8","3","3","1",2
"529","9","3","3","1",2
"530","10","3","3","1",2
"531","11","3","3","1",2
"532","12","3","3","1",1
"533","13","3","3","1",1
"534","14","3","3","1",2
"535","15","3","3","1",2
"536","16","3","3","1",2
"537","17","3","3","1",2
"538","18","3","3","1",2
"539","19","3","3","1",2
"540","20","3","3","1",2
"541","1","4","3","1",2
"542","2","4","3","1",2
"543","3","4","3","1",2
"544","4","4","3","1",2
"545","5","4","3","1",2
"546","6","4","3","1",2
"547","7","4","3","1",2
"548","8","4","3","1",2
"549","9","4","3","1",2
"550","10","4","3","1",2
"551","11","4","3","1",1
"552","12","4","3","1",2
"553","13","4","3","1",1
"554","14","4","3","1",2
"555","15","4","3","1",2
"556","16","4","3","1",1
"557","17","4","3","1",2
"558","18","4","3","1",2
"559","19","4","3","1",2
"560","20","4","3","1",2
"561","1","5","3","1",2
"562","2","5","3","1",2
"563","3","5","3","1",2
"564","4","5","3","1",2
"565","5","5","3","1",2
"566","6","5","3","1",2
"567","7","5","3","1",2
"568","8","5","3","1",2
"569","9","5","3","1",2
"570","10","5","3","1",2
"571","11","5","3","1",1
"572","12","5","3","1",1
"573","13","5","3","1",1
"574","14","5","3","1",2
"575","15","5","3","1",1
"576","16","5","3","1",1
"577","17","5","3","1",2
"578","18","5","3","1",2
"579","19","5","3","1",2
"580","20","5","3","1",2
"581","1","6","3","1",2
"582","2","6","3","1",2
"583","3","6","3","1",2
"584","4","6","3","1",2
"585","5","6","3","1",2
"586","6","6","3","1",2
"587","7","6","3","1",2
"588","8","6","3","1",2
"589","9","6","3","1",2
"590","10","6","3","1",2
"591","11","6","3","1",2
"592","12","6","3","1",1
"593","13","6","3","1",2
"594","14","6","3","1",2
"595","15","6","3","1",2
"596","16","6","3","1",2
"597","17","6","3","1",2
"598","18","6","3","1",2
"599","19","6","3","1",2
"600","20","6","3","1",2
"601","1","7","3","1",2
"602","2","7","3","1",2
"603","3","7","3","1",2
"604","4","7","3","1",2
"605","5","7","3","1",2
"606","6","7","3","1",2
"607","7","7","3","1",2
"608","8","7","3","1",2
"609","9","7","3","1",2
"610","10","7","3","1",2
"611","11","7","3","1",1
"612","12","7","3","1",1
"613","13","7","3","1",2
"614","14","7","3","1",2
"615","15","7","3","1",1
"616","16","7","3","1",1
"617","17","7","3","1",2
"618","18","7","3","1",2
"619","19","7","3","1",2
"620","20","7","3","1",2
"621","1","8","3","1",2
"622","2","8","3","1",2
"623","3","8","3","1",2
"624","4","8","3","1",2
"625","5","8","3","1",2
"626","6","8","3","1",2
"627","7","8","3","1",2
"628","8","8","3","1",2
"629","9","8","3","1",2
"630","10","8","3","1",2
"631","11","8","3","1",1
"632","12","8","3","1",1
"633","13","8","3","1",1
"634","14","8","3","1",2
"635","15","8","3","1",1
"636","16","8","3","1",1
"637","17","8","3","1",2
"638","18","8","3","1",2
"639","19","8","3","1",2
"640","20","8","3","1",2
"641","1","9","3","1",2
"642","2","9","3","1",2
"643","3","9","3","1",2
"644","4","9","3","1",2
"645","5","9","3","1",2
"646","6","9","3","1",2
"647","7","9","3","1",2
"648","8","9","3","1",2
"649","9","9","3","1",2
"650","10","9","3","1",2
"651","11","9","3","1",1
"652","12","9","3","1",1
"653","13","9","3","1",2
"654","14","9","3","1",2
"655","15","9","3","1",1
"656","16","9","3","1",2
"657","17","9","3","1",2
"658","18","9","3","1",2
"659","19","9","3","1",2
"660","20","9","3","1",2
"661","1","10","3","1",2
"662","2","10","3","1",2
"663","3","10","3","1",2
"664","4","10","3","1",2
"665","5","10","3","1",2
"666","6","10","3","1",2
"667","7","10","3","1",2
"668","8","10","3","1",2
"669","9","10","3","1",2
"670","10","10","3","1",2
"671","11","10","3","1",1
"672","12","10","3","1",2
"673","13","10","3","1",2
"674","14","10","3","1",2
"675","15","10","3","1",2
"676","16","10","3","1",2
"677","17","10","3","1",2
